Date,price,zone
5/25/2024 3:00,17.55748,SDGE
5/25/2024 3:00,16.77058,VEA
5/25/2024 4:00,18.9022,PGAE
5/25/2024 4:00,17.59008,SCE
5/25/2024 4:00,17.67688,SDGE
5/25/2024 4:00,16.98407,VEA
5/25/2024 5:00,17.62213,PGAE
5/25/2024 5:00,16.50404,SCE
5/25/2024 5:00,16.60404,SDGE
5/25/2024 5:00,15.98485,VEA
5/25/2024 6:00,10.83604,PGAE
5/25/2024 6:00,10.37016,SCE
5/25/2024 6:00,10.40614,SDGE
5/25/2024 6:00,9.99657,VEA
5/25/2024 7:00,2.12,PGAE
5/25/2024 7:00,-29.07708,SCE
5/25/2024 7:00,-28.72,SDGE
5/25/2024 7:00,-26.46307,VEA
5/25/2024 8:00,-15.57829,PGAE
5/25/2024 8:00,-42.9461,SCE
5/25/2024 8:00,-42.60931,SDGE
5/25/2024 8:00,-53.35348,VEA
5/25/2024 9:00,-19.14238,PGAE
5/25/2024 9:00,-45.90595,SCE
5/25/2024 9:00,-44.17007,SDGE
5/25/2024 9:00,-44.70067,VEA
5/25/2024 10:00,-26.32918,PGAE
5/25/2024 10:00,-45.6228,SCE
5/25/2024 10:00,-45.92902,SDGE
5/25/2024 10:00,-49.58423,VEA
5/25/2024 11:00,-26.89334,PGAE
5/25/2024 11:00,-46.49082,SCE
5/25/2024 11:00,-46.73573,SDGE
5/25/2024 11:00,-46.5784,VEA
5/25/2024 12:00,-27.66933,PGAE
5/25/2024 12:00,-47.5,SCE
5/25/2024 12:00,-47.48681,SDGE
5/25/2024 12:00,-50.57,VEA
5/25/2024 13:00,-27.64047,PGAE
5/25/2024 13:00,-48.81774,SCE
5/25/2024 13:00,-48.75019,SDGE
5/25/2024 13:00,-45.58074,VEA
5/25/2024 14:00,-27.0856,PGAE
5/25/2024 14:00,-47.55411,SCE
5/25/2024 14:00,-47.43539,SDGE
5/25/2024 14:00,-57.1912,VEA
5/25/2024 15:00,-26.86461,PGAE
5/25/2024 15:00,-47.42893,SCE
5/25/2024 15:00,-47.33479,SDGE
5/25/2024 15:00,-45.91978,VEA
5/25/2024 16:00,-23.62609,PGAE
5/25/2024 16:00,-47.24567,SCE
5/25/2024 16:00,-47.46251,SDGE
5/25/2024 16:00,-54.17716,VEA
5/25/2024 17:00,-11.83122,PGAE
5/25/2024 17:00,-29.1745,SCE
5/25/2024 17:00,-29.17482,SDGE
5/25/2024 17:00,-26.83983,VEA
5/25/2024 18:00,6.16242,PGAE
5/25/2024 18:00,4.41696,SCE
5/25/2024 18:00,4.62191,SDGE
5/25/2024 18:00,4.61505,VEA
5/25/2024 19:00,21.46986,PGAE
5/25/2024 19:00,20.01928,SCE
5/25/2024 19:00,20.30434,SDGE
5/25/2024 19:00,19.26434,VEA
5/25/2024 20:00,26.6812,PGAE
5/25/2024 20:00,24.63115,SCE
5/25/2024 20:00,25.07972,SDGE
5/25/2024 20:00,23.50039,VEA
5/25/2024 21:00,23.1342,PGAE
5/25/2024 21:00,21.52884,SCE
5/25/2024 21:00,22,SDGE
5/25/2024 21:00,20.70349,VEA
5/25/2024 22:00,19.73211,PGAE
5/25/2024 22:00,17.86746,SCE
5/25/2024 22:00,18.14227,SDGE
5/25/2024 22:00,17.12109,VEA
5/25/2024 23:00,18.73374,PGAE
5/25/2024 23:00,17.33028,SCE
