RAVEN_sample_ID,Time,_ROM_Cluster,Year,scaling,Dispatch__npp__production__electricity,Dispatch__cspturbine__production__electricityBoost,Dispatch__cspturbine__production__heat,Dispatch__solar__production__heat,Dispatch__H_Import__production__heat,Dispatch__TES__level__heat,Dispatch__TES__charge__heat,Dispatch__TES__discharge__heat,Dispatch__grid__production__electricity,Dispatch__gridBoost__production__electricityBoost,Cap_DNI,Price,ProbabilityWeight,PointProbability,prefix
0,71,1,2022,1.0,48.6000003471,4.36093454337,-13.2149531617,0.0,-9.99999090909e-09,61.088112004,-18836.7899825,18850.0049357,-48.6000003471,-4.36093454337,0.0,65.46867,1.0,1.0,1
0,72,1,2022,1.0,48.6000003148,2.88093492158,-8.73010582296,0.0,-9.99999090909e-09,52.3580061711,-18838.9043274,18847.6344333,-48.6000003148,-2.88093492158,0.0,53.09766,1.0,1.0,1
0,73,1,2022,1.0,48.6000003074,1.40093562464,-4.2452594686,0.0,-9.99999090909e-09,48.1127466925,-18841.0866438,18845.3319033,-48.6000003074,-1.40093562464,0.0,50.89428,1.0,1.0,1
0,74,1,2022,1.0,48.6000003056,1.40000067389,-4.24242628451,0.0,-9.99999090909e-09,43.8703203979,-18840.9528962,18845.1953225,-48.6000003056,-1.40000067389,0.0,50.39583,1.0,1.0,1
0,75,1,2022,1.0,48.6000003039,1.40000064905,-4.24242620925,0.0,-9.99999090909e-09,39.6278941787,-18840.7393531,18844.9817794,-48.6000003039,-1.40000064905,0.0,49.9353,1.0,1.0,1
0,76,1,2022,1.0,48.6000003067,1.40086963791,-4.24505950883,0.0,-9.99999090909e-09,35.3828346599,-18840.7455002,18844.9905598,-48.6000003067,-1.40086963791,0.0,50.71179,1.0,1.0,1
0,77,1,2022,1.0,48.6000003309,2.88086893948,-8.72990587721,0.0,-9.99999090909e-09,26.6529287726,-18838.2383679,18846.9682737,-48.6000003309,-2.88086893948,0.0,58.61749,1.0,1.0,1
0,78,1,2022,1.0,48.6000003745,4.36086844138,-13.2147528527,0.0,-9.99999090909e-09,13.43817591,-18836.0310822,18849.245835,-48.6000003745,-4.36086844138,0.0,81.49948,1.0,1.0,1
0,79,1,2022,1.0,48.6000003688,4.35999888863,-13.2121178443,0.0,-9.99999090909e-09,0.226058055639,-18834.9649198,18848.1770376,-48.6000003688,-4.35999888863,0.0,77.56713,1.0,1.0,1
0,80,1,2022,1.0,48.6000003285,2.87999955698,-8.72727138479,27.7780007969,-9.99999090909e-09,19.2767874577,-18828.0805611,18809.0298317,-48.6000003285,-2.87999955698,0.646000022,57.70217,1.0,1.0,1
