RAVEN_sample_ID,Time,_ROM_Cluster,Year,scaling,Dispatch__npp__production__electricity,Dispatch__cspturbine__production__electricityBoost,Dispatch__cspturbine__production__heat,Dispatch__solar__production__heat,Dispatch__H_Import__production__heat,Dispatch__TES__level__heat,Dispatch__TES__charge__heat,Dispatch__TES__discharge__heat,Dispatch__grid__production__electricity,Dispatch__gridBoost__production__electricityBoost,Cap_DNI,Price,prefix,ProbabilityWeight,PointProbability
0,58,1,2022,1.0,48.6000003129,2.96000085668,-8.9696995657,40.4983788587,-9.99999090909e-09,177.765647535,-25430.1839215,25398.6552422,-48.6000003129,-2.96000085668,0.843716227,52.50901,1,1.0,1.0
0,59,1,2022,1.0,48.6000003048,1.48000161269,-4.4848533718,38.9775263453,-9.99999090909e-09,212.258320498,-25427.4293667,25392.9366937,-48.6000003048,-1.48000161269,0.8120318,50.18051,1,1.0,1.0
0,60,1,2022,1.0,48.6000003012,1.40000071319,-4.2424264036,37.4430558957,-9.99999090909e-09,245.45894998,-25422.3570096,25389.1563801,-48.6000003012,-1.40000071319,0.780063666,49.1969,1,1.0,1.0
0,61,1,2022,1.0,48.6000002969,1.48044802728,-4.48620614329,8.71759470955,-9.99999090909e-09,249.690338537,-25422.3483644,25418.1169758,-48.6000002969,-1.48044802728,0.181616564,48.0725,1,1.0,1.0
0,62,1,2022,1.0,48.6000003044,2.96044734085,-8.97105254804,12.2045831593,-9.99999090909e-09,252.923869138,-25423.377924,25420.1443934,-48.6000003044,-2.96044734085,0.254262156,50.0595,1,1.0,1.0
0,63,1,2022,1.0,48.6000003307,4.44044697411,-13.4558999215,0.98251866336,-9.99999090909e-09,240.45048787,-25416.5621007,25429.035482,-48.6000003307,-4.44044697411,0.020469148,58.54354,1,1.0,1.0
0,64,1,2022,1.0,48.6000003818,5.92044664215,-17.9407474005,0.0960978646419,-9.99999090909e-09,222.605838324,-25414.5512768,25432.3959263,-48.6000003818,-5.92044664215,0.002002048,87.2693,1,1.0,1.0
0,65,1,2022,1.0,48.6000004078,7.39999990733,-22.4242421434,0.0,-9.99999090909e-09,200.181596171,-25412.6139918,25435.0382339,-48.6000004078,-7.39999990733,0.0,116.32134,1,1.0,1.0
0,66,1,2022,1.0,48.6000003988,7.39999985844,-22.4242419953,0.0,-9.99999090909e-09,177.757354165,-25412.6311126,25435.0553547,-48.6000003988,-7.39999985844,0.0,104.23151,1,1.0,1.0
0,67,1,2022,1.0,48.6000003903,7.39999979517,-22.4242418036,0.0,-9.99999090909e-09,155.333112352,-25412.7110809,25435.1353227,-48.6000003903,-7.39999979517,0.0,94.99916,1,1.0,1.0
0,68,1,2022,1.0,48.6000003805,7.39999968646,-22.4242414741,0.0,-9.99999090909e-09,132.908870868,-25412.8234519,25435.2476934,-48.6000003805,-7.39999968646,0.0,86.17352,1,1.0,1.0
0,69,1,2022,1.0,48.6000003658,7.3928919969,-22.4027030209,0.0,-9.99999090909e-09,110.506167837,-25412.9212334,25435.3239364,-48.6000003658,-7.3928919969,0.0,75.63568,1,1.0,1.0
0,70,1,2022,1.0,48.6000003611,5.91289271365,-17.917856708,0.0,-9.99999090909e-09,92.5883111187,-25414.8078602,25432.7257169,-48.6000003611,-5.91289271365,0.0,72.81057,1,1.0,1.0
0,71,1,2022,1.0,48.6000003471,4.43289311622,-13.4330094431,0.0,-9.99999090909e-09,79.1553016656,-25416.7034599,25430.1364693,-48.6000003471,-4.43289311622,0.0,65.46867,1,1.0,1.0
0,72,1,2022,1.0,48.6000003148,2.95289348657,-8.94816208051,0.0,-9.99999090909e-09,70.2071395751,-25418.5189032,25427.4670653,-48.6000003148,-2.95289348657,0.0,53.09766,1,1.0,1.0
0,73,1,2022,1.0,48.6000003074,1.4728941746,-4.46331568061,0.0,-9.99999090909e-09,65.7438238845,-25420.2591539,25424.7224696,-48.6000003074,-1.4728941746,0.0,50.89428,1,1.0,1.0
0,74,1,2022,1.0,48.6000003056,1.400000672,-4.24242627878,0.0,-9.99999090909e-09,61.5013975957,-25420.2770009,25424.5194272,-48.6000003056,-1.400000672,0.0,50.39583,1,1.0,1.0
0,75,1,2022,1.0,48.6000003039,1.40000064982,-4.24242621156,0.0,-9.99999090909e-09,57.2589713742,-25420.2092138,25424.4516401,-48.6000003039,-1.40000064982,0.0,49.9353,1,1.0,1.0
0,76,1,2022,1.0,48.6000003067,2.8727648439,-8.7053480118,0.0,-9.99999090909e-09,48.5536233524,-25418.4532761,25427.1586241,-48.6000003067,-2.8727648439,0.0,50.71179,1,1.0,1.0
0,77,1,2022,1.0,48.6000003309,4.35276415736,-13.1901944162,0.0,-9.99999090909e-09,35.3634289261,-25416.7971324,25429.9873268,-48.6000003309,-4.35276415736,0.0,58.61749,1,1.0,1.0
0,78,1,2022,1.0,48.6000003745,5.83276366582,-17.6750414116,0.0,-9.99999090909e-09,17.6883875046,-25414.8555086,25432.53055,-48.6000003745,-5.83276366582,0.0,81.49948,1,1.0,1.0
0,79,1,2022,1.0,48.6000003688,5.83716465193,-17.6883777331,0.0,-9.99999090909e-09,9.76143893258e-06,-25414.1477685,25431.8361463,-48.6000003688,-5.83716465193,0.0,77.56713,1,1.0,1.0
0,80,1,2022,1.0,48.6000003285,4.35716527028,-13.203531122,31.008000911,-9.99999090909e-09,17.8044795404,-25428.3756083,25410.5711385,-48.6000003285,-4.35716527028,0.646000022,57.70217,1,1.0,1.0
0,81,1,2022,1.0,48.6000002999,2.87716603849,-8.71868496513,37.2088794373,-9.99999090909e-09,46.2946740026,-25434.4676283,25405.9774339,-48.6000002999,-2.87716603849,0.77518499,48.85706,1,1.0,1.0
